id,model_name,answer
1,GPT_Model_A,"Voltage regulation is the change in transformer secondary voltage between no-load and full-load conditions."
2,GPT_Model_A,"Transformer cores are laminated to reduce eddy currents and improve efficiency."
3,GPT_Model_A,"Copper losses occur due to winding resistance when current flows through the transformer."
4,GPT_Model_A,"The per-unit system standardizes electrical quantities using common base values."
5,GPT_Model_A,"Load flow analysis calculates voltages, currents, and power flows in a power network."
6,GPT_Model_A,"The slack bus is a reference bus that compensates for power imbalances in the system."
7,GPT_Model_A,"Protective relays detect faults and command circuit breakers to isolate affected equipment."
8,GPT_Model_A,"Relay coordination ensures only the faulty section is disconnected."
9,GPT_Model_A,"Differential protection compares incoming and outgoing currents to detect internal faults."
10,GPT_Model_A,"Slip is the speed difference between synchronous speed and rotor speed."
11,GPT_Model_A,"Slip exists because the rotor must lag the magnetic field to induce current."
12,GPT_Model_A,"The commutator converts AC generated in the armature into DC output."
13,GPT_Model_A,"High voltage transmission lowers current and reduces losses."
14,GPT_Model_A,"The Ferranti effect causes receiving-end voltage to increase under light-load conditions."
15,GPT_Model_A,"Voltage drop is the reduction of voltage caused by line impedance."
16,GPT_Model_A,"Solar cells convert sunlight directly into electrical energy."
17,GPT_Model_A,"An inverter changes DC power into AC power."
18,GPT_Model_A,"Ohm's Law states V equals I times R."
19,GPT_Model_A,"Power factor is the ratio of real power to apparent power."
20,GPT_Model_A,"Active power performs work while reactive power supports magnetic fields."
21,GPT_Model_B,"Transformer voltage regulation is the difference between primary voltage and secondary voltage."
22,GPT_Model_B,"Transformer cores are laminated to increase eddy currents."
23,GPT_Model_B,"Copper losses are caused only by magnetic flux."
24,GPT_Model_B,"The per-unit system is mainly used to increase transmission voltage."
25,GPT_Model_B,"Load flow analysis calculates short-circuit current only."
26,GPT_Model_B,"The slack bus always has zero voltage."
27,GPT_Model_B,"Protective relays increase power factor in transmission systems."
28,GPT_Model_B,"Relay coordination means all relays trip simultaneously."
29,GPT_Model_B,"Differential protection compares voltage instead of current."
30,GPT_Model_B,"Slip is the difference between voltage and current."
31,GPT_Model_B,"Slip occurs because induction motors operate at synchronous speed."
32,GPT_Model_B,"The commutator increases machine efficiency above 100 percent."
33,GPT_Model_B,"High voltage transmission increases current to improve efficiency."
34,GPT_Model_B,"The Ferranti effect only occurs in transformers."
35,GPT_Model_B,"Voltage drop means voltage increases along the feeder."
36,GPT_Model_B,"Solar panels generate electricity by storing sunlight permanently."
37,GPT_Model_B,"An inverter converts AC into DC for household appliances."
38,GPT_Model_B,"Ohm's Law states power equals voltage divided by resistance."
39,GPT_Model_B,"Power factor can be greater than 1.5 in AC systems."
40,GPT_Model_B,"Reactive power performs useful mechanical work."
