id,ground_truth
1,"Voltage regulation is the percentage change in secondary voltage from no-load to full-load while maintaining constant primary voltage."
2,"Transformer cores are laminated to reduce eddy current losses."
3,"Copper losses are caused by current flowing through the winding resistance and are proportional to I²R."
4,"The per-unit system simplifies power system calculations by normalizing quantities using selected base values."
5,"Load flow analysis determines bus voltages, power flows, and system losses under steady-state conditions."
6,"The slack bus balances active and reactive power mismatches in a power flow study."
7,"A protective relay detects abnormal conditions and initiates circuit breaker operation."
8,"Relay coordination ensures the nearest protective device operates first during a fault."
9,"Differential protection compares currents entering and leaving protected equipment and trips when a significant difference is detected."
10,"Slip is the difference between synchronous speed and rotor speed expressed as a percentage of synchronous speed."
11,"Slip occurs because rotor current can only be induced when there is relative motion between the rotating magnetic field and rotor conductors."
12,"The commutator converts the internally generated alternating current into direct current at the machine terminals."
13,"High voltage transmission reduces current and minimizes power losses."
14,"The Ferranti effect is the rise in receiving-end voltage of a lightly loaded or unloaded transmission line."
15,"Voltage drop is the reduction in voltage along a distribution feeder due to impedance and load current."
16,"A photovoltaic cell converts sunlight directly into electrical energy through the photovoltaic effect."
17,"An inverter converts DC electricity from solar panels into AC electricity."
18,"Ohm's Law states that voltage equals current multiplied by resistance (V = IR)."
19,"Power factor is the ratio of real power to apparent power in an AC circuit."
20,"Active power performs useful work while reactive power sustains electric and magnetic fields."
